"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C8","0805_CAP","102.464mm","57.531mm","102.464mm","57.531mm","103.354mm","57.531mm","T","180","0.1uF"
"C9","0805_CAP","115.773mm","81.001mm","115.773mm","81.001mm","114.883mm","81.001mm","T","360","0.1uF"
"J1","PH1.5_4P","127.584mm","76.621mm","127.584mm","74.371mm","127.584mm","74.371mm","T","90","1.50mm"
"LED1","0805-LED-R","116.395mm","72.873mm","117.602mm","72.873mm","117.602mm","72.873mm","T","180","LED"
"LED2","0805-LED-R","116.395mm","75.463mm","117.602mm","75.463mm","117.602mm","75.463mm","T","180","LED"
"R1","0805_RES","97.028mm","59.944mm","97.028mm","59.944mm","96.138mm","59.944mm","T","0","10k"
"R2","0805_RES","90.526mm","87.63mm","90.526mm","87.63mm","89.636mm","87.63mm","T","360","10k"
"R3","0805_RES","78.816mm","75.565mm","78.816mm","75.565mm","78.816mm","74.675mm","T","90","1M"
"R4","0805_RES","77.775mm","64.643mm","77.775mm","64.643mm","76.885mm","64.643mm","T","360","10k"
"R5","0805_RES","120.859mm","72.923mm","120.859mm","72.923mm","119.969mm","72.923mm","T","360","2.2K"
"R6","0805_RES","120.885mm","75.387mm","120.885mm","75.387mm","119.995mm","75.387mm","T","360","2.2K"
"U1","LQFP100_14x14","97.358mm","74.295mm","97.358mm","74.295mm","89.758mm","80.295mm","T","0","STM32F407VET6"
"Y1","XTAL_US1","82.956mm","74.486mm","82.956mm","69.317mm","82.956mm","69.317mm","T","90","8MHz"
"U2","B2405XT-2WR2","66.168mm","78.994mm","67.361mm","85.09mm","61.495mm","82.55mm","T","270","B2405XT-2WR2"
"C14","CASE-A_3216","53.95mm","66.472mm","53.95mm","66.472mm","55.35mm","66.472mm","T","180","10uF/16V"
"C17","TC6032_C","69.969mm","66.218mm","69.977mm","66.218mm","67.31mm","66.218mm","T","360","100uF/16V"
"J3","VH3.96_4P","38.405mm","84.985mm","38.405mm","79.045mm","38.405mm","79.045mm","T","90","3.96mm"
"KEY1","SW_PB_SMD_6X6","131.496mm","67.869mm","131.496mm","67.869mm","127.096mm","65.619mm","T","360","SPEED"
"JP1","SIP2","77.343mm","69.621mm","78.613mm","69.621mm","78.613mm","69.621mm","T","180","JUMPER"
"K3","USR-K3","118.308mm","91.237mm","118.237mm","96.317mm","118.237mm","96.317mm","T","360","USR_K3"
"D1","LL-34(²£Á§¶þ¼«¹Ü)","78.857mm","84.201mm","77.064mm","84.201mm","77.064mm","84.201mm","T","360","1N4148"
"C19","0805_CAP","115.773mm","78.384mm","115.773mm","78.384mm","114.883mm","78.384mm","T","360","10uF"
"C20","0805_CAP","97.053mm","57.607mm","97.053mm","57.607mm","96.163mm","57.607mm","T","0","10uF"
"S1","SOP8_switch","119.114mm","67.589mm","122.961mm","65.684mm","122.961mm","65.684mm","T","180","SW DIP-4"
"C18","0805_CAP","68.428mm","69.367mm","68.428mm","69.367mm","69.318mm","69.367mm","T","180","0.1uF"
